# Dataset "Data 0" exported from GenX on Tue Apr  2 13:46:10 2024
# Column lables:
# x	I_simulated	I	error(I)
1.290000000000000036e+00 5.755035898922695196e+03 7.192000000000000000e+03 nan
1.300000000000000044e+00 7.258214964501562463e+03 8.163000000000000000e+03 nan
1.310000000000000053e+00 8.842081067483788502e+03 1.043900000000000000e+04 nan
1.320000000000000062e+00 1.002576034321707448e+04 1.129600000000000000e+04 nan
1.330000000000000071e+00 1.048253537598053299e+04 1.079800000000000000e+04 nan
1.340000000000000080e+00 1.008401408513211209e+04 1.040700000000000000e+04 nan
1.350000000000000089e+00 8.910321243848373342e+03 9.362000000000000000e+03 nan
1.360000000000000098e+00 7.226801026114289925e+03 7.320000000000000000e+03 nan
1.370000000000000107e+00 5.414903383332693920e+03 5.132000000000000000e+03 nan
1.379999999999999893e+00 3.863666389665167571e+03 4.522000000000000000e+03 nan
1.389999999999999902e+00 2.860618125268129006e+03 3.266000000000000000e+03 nan
1.399999999999999911e+00 2.527705569664568429e+03 2.679000000000000000e+03 nan
1.409999999999999920e+00 2.818234304070640064e+03 3.824000000000000000e+03 nan
1.419999999999999929e+00 3.555182194824938506e+03 4.310000000000000000e+03 nan
1.429999999999999938e+00 4.483213588982117471e+03 4.823000000000000000e+03 nan
1.439999999999999947e+00 5.324094133158835575e+03 6.091000000000000000e+03 nan
1.449999999999999956e+00 5.837794366879895279e+03 6.582000000000000000e+03 nan
1.459999999999999964e+00 5.882115230544430233e+03 6.084000000000000000e+03 nan
1.469999999999999973e+00 5.447732001210559247e+03 5.694000000000000000e+03 nan
1.479999999999999982e+00 4.648743752606103044e+03 5.129000000000000000e+03 nan
1.489999999999999991e+00 3.673713046639045842e+03 3.702000000000000000e+03 nan
1.500000000000000000e+00 2.724932718956010376e+03 2.411000000000000000e+03 nan
1.510000000000000009e+00 1.972416350861150704e+03 2.298000000000000000e+03 nan
1.520000000000000018e+00 1.528837763989943596e+03 1.517000000000000000e+03 nan
1.530000000000000027e+00 1.436371348428696365e+03 1.253000000000000000e+03 nan
1.540000000000000036e+00 1.660235910879533549e+03 2.134000000000000000e+03 nan
1.550000000000000044e+00 2.095923879006913467e+03 2.395000000000000000e+03 nan
1.560000000000000053e+00 2.597721678423900357e+03 2.528000000000000000e+03 nan
1.570000000000000062e+00 3.021707021270958194e+03 3.471000000000000000e+03 nan
